,pixel_r,pixel_g,pixel_b,local_r,local_g,local_b,edges_r,edges_g,edges_b,label
1385,29,41,19,39,48,31,44,51,36,norm_pervious
1386,55,69,46,43,53,35,41,50,34,norm_pervious
1387,52,70,48,42,52,36,42,50,37,norm_pervious
1388,48,60,40,51,59,45,53,58,49,norm_pervious
1389,45,60,39,40,52,36,42,52,38,norm_pervious
1390,63,74,58,63,69,62,58,63,57,norm_pervious
1391,72,80,67,62,69,62,43,49,42,norm_pervious
1392,80,80,80,58,65,56,44,52,42,norm_impervious
1393,74,77,70,58,66,57,47,55,46,norm_impervious
1394,26,44,28,46,58,43,47,56,46,norm_pervious
1395,52,66,53,52,61,52,48,54,47,norm_pervious
1396,37,48,31,37,42,32,38,44,32,norm_pervious
1397,45,60,41,41,49,36,43,48,38,norm_pervious
1398,53,64,48,45,52,39,38,43,32,norm_pervious
1399,78,79,65,68,69,56,56,50,40,dry_pervious
1400,29,51,28,41,52,35,38,47,32,norm_pervious
1401,47,61,38,43,53,36,39,48,33,norm_pervious
1402,59,70,54,45,54,42,41,48,38,norm_pervious
1403,72,70,55,64,68,52,48,53,39,dry_pervious
1404,67,76,59,65,71,58,53,59,46,dry_pervious
1405,70,77,61,65,71,57,53,58,44,dry_pervious
1406,71,69,56,71,72,58,57,60,49,dry_pervious
1407,82,83,69,74,74,60,56,59,48,dry_pervious
1408,67,69,55,65,69,54,47,52,38,dry_pervious
1409,68,75,59,63,70,55,49,54,42,dry_pervious
1410,72,76,62,64,71,57,55,59,47,dry_pervious
1411,69,70,56,65,68,53,46,52,38,dry_pervious
1412,73,73,61,64,68,53,50,55,42,dry_pervious
1413,75,76,62,61,62,50,43,49,37,dry_pervious
1414,72,70,57,64,65,53,44,50,38,dry_pervious
1415,71,69,56,61,62,49,43,50,37,dry_pervious
1416,47,66,47,39,51,37,37,47,34,norm_pervious
1417,52,69,51,38,49,35,36,46,33,norm_pervious
1418,40,55,36,39,49,36,42,49,39,norm_pervious
1419,55,67,47,45,54,39,40,48,36,norm_pervious
1420,53,66,48,45,55,37,40,48,34,norm_pervious
1421,38,51,33,42,53,34,43,51,35,norm_pervious
1422,40,53,33,40,51,32,44,53,35,norm_pervious
1423,58,68,44,48,58,38,39,48,32,norm_pervious
1424,35,46,29,43,52,35,43,50,35,norm_pervious
1425,36,51,30,41,52,33,44,53,35,norm_pervious
1426,52,64,42,37,47,31,41,50,34,norm_pervious
1427,57,68,54,44,56,39,41,51,35,norm_pervious
1428,50,63,43,42,52,35,39,48,34,norm_pervious
1429,48,61,43,45,53,37,41,48,34,norm_pervious
1430,73,67,53,62,61,49,47,51,41,dry_pervious
1431,72,65,55,61,60,49,45,49,39,dry_pervious
1432,176,168,129,167,159,122,155,149,116,tan_impervious
1433,167,162,124,168,162,124,164,157,122,tan_impervious
1434,127,121,95,125,119,97,124,120,105,tan_impervious
1435,142,134,98,164,157,118,159,153,117,tan_impervious
1436,155,148,119,159,152,120,165,158,125,tan_impervious
1437,152,131,100,123,115,85,95,99,70,dry_pervious
1438,120,106,79,131,115,91,125,113,89,tan_impervious
1439,98,94,67,84,88,63,80,87,63,dry_pervious
1440,100,99,71,84,89,63,84,91,66,dry_pervious
1441,104,97,71,93,93,68,85,89,64,dry_pervious
1442,158,132,99,124,116,86,95,98,71,dry_pervious
1443,156,137,95,154,139,97,78,85,53,dry_pervious
1444,153,128,87,152,137,95,79,86,54,dry_pervious
1445,105,101,74,96,100,71,84,92,67,dry_pervious
1446,94,99,69,93,99,70,93,99,73,norm_pervious
1447,111,112,78,98,102,73,88,96,70,dry_pervious
1448,102,101,70,95,100,71,88,95,69,dry_pervious
1449,134,119,90,139,124,89,77,85,56,dry_pervious
1450,53,71,47,55,73,48,61,76,50,norm_pervious
1451,40,65,36,51,71,44,73,85,59,norm_pervious
1452,39,70,39,47,68,41,62,76,50,norm_pervious
1453,76,89,69,64,74,54,59,70,50,norm_pervious
1454,61,64,45,66,70,57,79,79,60,norm_impervious
1455,60,63,54,65,69,56,75,81,62,norm_impervious
1456,70,73,64,91,93,81,105,107,91,norm_impervious
1457,54,57,40,54,60,43,80,86,70,norm_impervious
1458,106,107,89,103,106,87,78,84,65,norm_impervious
1459,107,109,95,98,104,88,60,70,49,norm_impervious
